f_GHz,S11_dB,S21_dB,S12_dB,S22_dB
1.2469999999999999,-13.710736912871305,-0.305051802360896,-0.3050494215492934,-13.712780866658347
1.248,-13.700663788715282,-0.30558169467531043,-0.3055795408298718,-13.702706021261795
1.249,-13.690599485249956,-0.3061122648399464,-0.3061103376375813,-13.692639998913464
1.25,-13.680543999702834,-0.30664351302249765,-0.30664181213153463,-13.682582796819565
1.251,-13.670497329292267,-0.3071754393856458,-0.3071739644658822,-13.672534412177411
1.252,-13.660459471227561,-0.3077080440870435,-0.3077067947897932,-13.662494842175526
1.2530000000000001,-13.650430422709052,-0.3082413272793314,-0.3082403032474733,-13.652464083993719
1.254,-13.640410180928201,-0.30877528911012236,-0.30877448997815243,-13.64244213480317
1.255,-13.630398743067676,-0.3093099297220161,-0.309309355116091,-13.632428991766519
1.256,-13.620396106301433,-0.3098452492525856,-0.30984489879058036,-13.62242465203794
1.2570000000000001,-13.610402267794829,-0.3103812478343889,-0.3103811211259367,-13.612429112763243
1.258,-13.600417224704671,-0.3109179255949563,-0.3109180222415052,-13.602442371079945
1.259,-13.590440974179339,-0.3114552826568038,-0.31145560225166175,-13.59246442411736
1.26,-13.580473513358847,-0.31199331913742395,-0.3119938612658083,-13.58249526899667
1.2610000000000001,-13.570514839374944,-0.3125320351492861,-0.3125327993883775,-13.57253490283104
1.262,-13.5605649493512,-0.31307143079984284,-0.3130724167188271,-13.56258332272568
1.263,-13.550623840403077,-0.31361150619152467,-0.3136127133516464,-13.55264052577792
1.264,-13.540691509638032,-0.3141522614217423,-0.3141536893763508,-13.542706509077313
1.2650000000000001,-13.530767954155605,-0.314693696582884,-0.31469534487748535,-13.532781269705715
1.266,-13.520853171047484,-0.3152358117623165,-0.3152376799346259,-13.52286480473737
1.267,-13.510947157397615,-0.3157786070423949,-0.3157806946223719,-13.512957111238975
1.268,-13.501049910282264,-0.31632208250044264,-0.3163243890103579,-13.503058186269785
1.2690000000000001,-13.491161426770127,-0.3168662382087744,-0.3168687631632445,-13.493168026881685
1.27,-13.481281703922395,-0.317411074234675,-0.31741381714071937,-13.483286630119284
1.271,-13.471410738792853,-0.3179565906404187,-0.3179595509975053,-13.473413993019982
1.272,-13.46154852842795,-0.31850278748325633,-0.3185059647833509,-13.463550112614058
1.2730000000000001,-13.451695069866902,-0.31904966481542313,-0.3190530585430378,-13.453694985924763
1.274,-13.441850360141762,-0.31959722268413093,-0.31960083231637615,-13.443848609968391
1.275,-13.432014396277513,-0.3201454611315786,-0.32014928613820726,-13.434010981754362
1.276,-13.42218717529213,-0.3206943801949475,-0.3206984200384047,-13.424182098285309
1.2770000000000001,-13.412368694196715,-0.32124397990639775,-0.3212482340418727,-13.414361956557162
1.278,-13.402558949995525,-0.3217942602930779,-0.3217987281685488,-13.404550553559215
1.279,-13.392757939686087,-0.32234522137711674,-0.3223499024334022,-13.394747886274223
1.28,-13.382965660259261,-0.3228968631756295,-0.3229017568464329,-13.38495395167848
1.2810000000000001,-13.373182108699355,-0.32344918570071346,-0.3234542914126793,-13.375168746741892
1.282,-13.36340728198418,-0.32400218895945476,-0.3240075061322105,-13.365392268428074
1.283,-13.353641177085143,-0.32455587295392285,-0.32456140100012687,-13.355624513694412
1.284,-13.343883790967318,-0.3251102376811743,-0.325115976006575,-13.345865479492156
1.2850000000000001,-13.334135120589561,-0.32566528313325466,-0.32567123113672247,-13.336115162766497
1.286,-13.324395162904551,-0.3262210092971938,-0.32622716637078103,-13.326373560456656
1.287,-13.314663914858905,-0.32677741615501377,-0.32678378168400196,-13.316640669495943
1.288,-13.304941373393238,-0.32733450368372374,-0.3273410770466684,-13.306916486811852
1.289,-13.295227535442255,-0.3278922718553209,-0.3278990524241059,-13.297201009326155
1.29,-13.28552239793484,-0.3284507206367951,-0.32845770777667316,-13.287494233954948
1.291,-13.275825957794122,-0.3290098499901289,-0.32901704305977325,-13.277796157608755
1.292,-13.266138211937564,-0.32956965987229403,-0.3295770582238502,-13.268106777192601
1.293,-13.256459157277046,-0.33013015023525555,-0.3301377532143846,-13.258426089606093
1.294,-13.246788790718941,-0.33069132102597365,-0.33069912797190504,-13.24875409174349
1.295,-13.237127109164202,-0.33125317218640316,-0.3312611824319771,-13.2390907804938
1.296,-13.227474109508437,-0.33181570365349045,-0.3318239165252109,-13.229436152740838
1.297,-13.21782978864199,-0.3323789153591825,-0.3323873301772665,-13.219790205363322
1.298,-13.208194143450028,-0.33294280723042435,-0.33295142330884075,-13.21015293523493
1.299,-13.198567170812607,-0.333507379189153,-0.33351619583568504,-13.200524339224417
1.3,-13.188948867604767,-0.3340726311523091,-0.3340816476685933,-13.19090441419564
1.301,-13.179339230696607,-0.33463856303183703,-0.33464777871340357,-13.181293157007678
1.302,-13.169738256953352,-0.3352051747346721,-0.33521458887101585,-13.17169056451489
1.303,-13.16014594323546,-0.33577246616276096,-0.3357820780373648,-13.162096633567007
1.304,-13.150562286398666,-0.33634043721304885,-0.33635024610344666,-13.152511361009187
1.305,-13.140987283294086,-0.3369090877774896,-0.33691909295530775,-13.142934743682112
1.306,-13.131420930768291,-0.3374784177430343,-0.33748861847404554,-13.133366778422054
1.307,-13.121863225663386,-0.33804842699165294,-0.3380588225358143,-13.123807462060968
1.308,-13.11231416481707,-0.3386191154003094,-0.33862970501182055,-13.11425679142653
1.309,-13.102773745062741,-0.339190482840985,-0.33920126576833126,-13.104714763342265
1.31,-13.093241963229563,-0.33976252918067323,-0.3397735046666692,-13.095181374627582
1.311,-13.083718816142536,-0.34033525428137146,-0.34034642156321493,-13.085656622097876
1.312,-13.074204300622581,-0.34090865800009257,-0.34092001630941454,-13.076140502564579
1.313,-13.064698413486624,-0.3414827401888681,-0.34149428875176796,-13.066633012835267
1.314,-13.055201151547653,-0.3420575006947382,-0.34206923873184414,-13.057134149713702
1.315,-13.045712511614813,-0.34263293935976025,-0.34264486608627465,-13.047643909999934
1.316,-13.036232490493479,-0.3432090560210146,-0.3432211706467533,-13.038162290490352
1.317,-13.026761084985326,-0.34378585051059396,-0.3437981522400457,-13.028689287977791
1.318,-13.01729829188841,-0.34436332265562075,-0.3443758106879804,-13.019224899251569
1.319,-13.007844107997244,-0.34494147227822985,-0.344954145807459,-13.009769121097587
1.32,-12.99839853010287,-0.34552029919558447,-0.34553315741045243,-13.000321950298401
1.321,-12.988961554992946,-0.34609980321987355,-0.3461128453040051,-12.990883383633282
1.322,-12.979533179451794,-0.34667998415830925,-0.346693209290235,-12.9814534178783
1.323,-12.970113400260516,-0.3472608418131334,-0.3472742491663321,-12.9720320498064
1.324,-12.960702214197033,-0.34784237598161805,-0.34785596472456815,-12.962619276187471
1.325,-12.951299618036176,-0.3484245864560654,-0.34843835575229015,-12.953215093788415
1.326,-12.941905608549757,-0.34900747302381196,-0.3490214220319265,-12.943819499373227
